asin,title,author,rating,reviews,url
9365898579,Comprehensive Data Structures and Algorithms in C++: Learn fundamentals with 500+ code samples and problems,by Deepali Srivastava and Suresh Kumar Srivastava | 13 May 2025,3.7 out of 5 stars,(8),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfbXRmOjMwMDU3NTg1NjMyMzgzMjo6MDo6&url=%2FComprehensive-Data-Structures-Algorithms-fundamentals%2Fdp%2F9365898579%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-11-spons%26aref%3D8JYv8fLU4G%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=8JYv8fLU4G&sp_cr=ZAZ
1949857395,Introductory C with C++,by Richard Petersen | 29 March 2023,N/A,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfbXRmOjMwMDk4NDIwMDU1NTMzMjo6MDo6&url=%2FIntroductory-C-Richard-Petersen%2Fdp%2F1949857395%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-12-spons%26aref%3Dj12BdSZR0U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=j12BdSZR0U&sp_cr=ZAZ
9369145729,"GKP Codewise- C, C++, Java, Python & R Complete Programmer Reference By Dr.Mohd. Abdul Hameed",by Dr. Mohd. Abdul Hameed | 21 October 2025,5.0 out of 5 stars,(4),https://www.amazon.in/Codewise-Complete-Programmer-Reference-Dr-Mohd/dp/9369145729/ref=sr_1_13?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-13
0199485674,Oop With C++(Revised 1St Ed),by REEMA THAREJA | 1 January 2018,4.4 out of 5 stars,(102),https://www.amazon.in/Oop-C-Revised-1St-Ed/dp/0199485674/ref=sr_1_14?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-14
9355422687,C++ Software Design: Design Principles and Patterns for High-Quality Software (Grayscale Indian Edition),by Klaus Iglberger | 5 October 2022,4.6 out of 5 stars,(175),https://www.amazon.in/Software-Design-Principles-High-Quality-Grayscale/dp/9355422687/ref=sr_1_15?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-15
1839216549,"C++ High Performance, Second Edition: Master the art of optimizing the functioning of your C++ code",by Björn Andrist and Viktor Sehr | 21 December 2020,4.6 out of 5 stars,(183),https://www.amazon.in/High-Performance-Master-optimizing-functioning/dp/1839216549/ref=sr_1_16?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-16
0138308683,Programming: Principles and Practice Using C++ (C++ In-depth),by Bjarne Stroustrup | 22 April 2024,4.5 out of 5 stars,(70),https://www.amazon.in/Programming-Principles-Practice-Using-C/dp/0138308683/ref=sr_1_17?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-17
8131775275,"C++ Primer, 5/e",Up to 5% back with Amazon Pay ICI...,4.7 out of 5 stars,(4),https://www.amazon.in/C-Primer-5-e/dp/8131775275/ref=sr_1_18?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-18
9332546185,"Pearson C++ Primer Plus, 6e",by Prata | 1 January 2015,4.0 out of 5 stars,(47),https://www.amazon.in/C-Primer-Plus-Prata/dp/9332546185/ref=sr_1_19?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-19
1316506800,Computer Programming With C++,by Kunal Pimparkhede | 1 December 2016,4.2 out of 5 stars,(19),https://www.amazon.in/Computer-Programming-C-Kunal-Pimparkhede/dp/1316506800/ref=sr_1_20?dib=eyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0&dib_tag=se&keywords=c%2B%2B+books&qid=1776184853&sr=8-20
1787121704,"Mastering C++ Multithreading: Write robust, concurrent, and parallel applications",by Maya Posch | 1 January 2017,3.8 out of 5 stars,(18),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfYnRmOjMwMDE2Mzk1OTQ1MDUzMjo6MDo6&url=%2FMastering-C-Multithreading-Maya-Posch%2Fdp%2F1787121704%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-21-spons%26aref%3DL5YEBa2QeP%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=L5YEBa2QeP&sp_cr=ZAZ
8192107531,The Ultimate C,by R. Nageswara Rao | 29 June 2012,4.4 out of 5 stars,(50),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDE2MTQwNzgzODMzODc4OjE3NzYxODQ4NTM6c3BfYnRmOjMwMDAyODAwMzg3OTUzMjo6MDo6&url=%2FUltimate-Concepts-Programs-Interview-Questions%2Fdp%2F8192107531%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.jAF2UBGtyEnf1xxSiEMxzG7-YDTsSIw5jkFdj_z3DelgcgiZ-jZaD4t17TgRGeUvTYJipBkMCqTPVe4IJN46ANf-t6rIoAlqC_dJd1UgUxOqa8qe-M4A77VwQPEIRdDwXJLsQGe43FWI-wEMgDUuT5PkO_Yr3DAKqHSiuT67Fvmh6WbEWq8pkyukLcfERq7w4NCSl-n2H1Ro7Sg9oM_kAOAJVi4lKRUy071FsGaBjh4.8IeLs_YOsZ_j47AcrAV6pE-QSuYOt8Pq7ziDKYM98q0%26dib_tag%3Dse%26keywords%3Dc%252B%252B%2Bbooks%26qid%3D1776184853%26sr%3D8-22-spons%26aref%3DvyTyhCFgzf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=vyTyhCFgzf&sp_cr=ZAZ
