asin,title,author,rating,reviews,url
1789801656,Artificial Intelligence and Machine Learning Fundamentals,by Zsolt Nagy | 1 January 2018,4.0 out of 5 stars,(9),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfbXRmOjMwMDE2MzkwNjk1MDkzMjo6MDo6&url=%2FArtificial-Intelligence-Machine-Learning-Fundamentals%2Fdp%2F1789801656%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-11-spons%26aref%3DUdvfYtHdFy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=UdvfYtHdFy&sp_cr=ZAZ
9391540465,Machine Learning in Data Science Using Python,by Dr. R. Nageswara Rao | 31 May 2022,4.7 out of 5 stars,(78),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfbXRmOjIwMDUzNTE3MTUwNzk4OjowOjo&url=%2FMachine-Learning-Science-Using-Python%2Fdp%2F9391540465%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-12-spons%26aref%3DnUdeD8lmvF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=nUdeD8lmvF&sp_cr=ZAZ
1999579518,The Hundred-Page Machine Learning Book,by Andriy Burkov | 1 January 2019,4.4 out of 5 stars,(282),https://www.amazon.in/Hundred-Page-Machine-Learning-Book/dp/1999579518/ref=sr_1_13?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-13
8119896734,Machine Learning | With Online Learning Platform | 35+ Video Notes | 2nd Edition | - Pearson,"by Saikat Dutt , Subramanian Chandramouli, et al. | 2 July 2024",4.4 out of 5 stars,(44),https://www.amazon.in/Machine-Learning-Online-Platform-Video/dp/8119896734/ref=sr_1_14?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-14
1636513778,"Machine Learning Essentials You Always Wanted to Know: A Hands-On Beginner's Guide to Mastering AI, Supervised, Unsupervised, and Deep Learning Algorithms",by Dhairya Parikh | 4 July 2025,4.3 out of 5 stars,(30),https://www.amazon.in/Machine-Learning-Essentials-Always-Wanted/dp/1636513778/ref=sr_1_15?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-15
1259096955,Machine Learning,by Tom M. Mitchell | 1 July 2017,4.3 out of 5 stars,(560),https://www.amazon.in/Machine-Learning-Tom-M-Mitchell/dp/1259096955/ref=sr_1_16?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-16
1636516025,"Machine Learning, Python & Data Analytics Essentials: Master AI, Data Science, and Analytics for Career Growth | Comprehensive Combo for Beginners & Professionals (Set of 3 Books)","by Dhairya Parikh , Shawn Peters , et al. | 21 July 2025",4.3 out of 5 stars,(15),https://www.amazon.in/Machine-Learning-Python-Analytics-Essentials/dp/1636516025/ref=sr_1_17?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-17
9355429460,Machine Learning System Design Interview: An Insider's Guide (Grayscale Indian Edition),by Ali Aminian and Alex Xu | 26 October 2023,4.4 out of 5 stars,(83),https://www.amazon.in/Machine-Learning-System-Design-Interview/dp/9355429460/ref=sr_1_18?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-18
9391540465,Machine Learning in Data Science Using Python,by Dr. R. Nageswara Rao | 31 May 2022,4.7 out of 5 stars,(78),https://www.amazon.in/Machine-Learning-Science-Using-Python/dp/9391540465/ref=sr_1_19?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-19
8176711403,MACHINE LEARNING Mitchell,by Tom Mitchell | 14 June 2025,4.1 out of 5 stars,(11),https://www.amazon.in/MACHINE-LEARNING-Mitchell-Tom/dp/8176711403/ref=sr_1_20?dib=eyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8&dib_tag=se&keywords=machine+learning+book&qid=1776184872&sr=8-20
1787128571,Python: Deeper Insights Into Machine Learning: Deeper Insights into Machine Learning: Leverage benefits of machine learning techniques using Python,"by Sebastian Raschka , David Julian, et al. | 1 January 2017",1.0 out of 5 stars,(1),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfYnRmOjMwMDE2MzkzODc1MzczMjo6MDo6&url=%2FPython-Deeper-Insights-Machine-Learning%2Fdp%2F1787128571%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-21-spons%26aref%3Df3t5H8W5LG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=f3t5H8W5LG&sp_cr=ZAZ
1787125939,"Python Machine Learning, Second Edition",by Sebastian Raschka and Vahid Mirjalili | 1 January 2017,4.4 out of 5 stars,(292),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQwNjQ2OTU1NTgxMjg1OjE3NzYxODQ4NzI6c3BfYnRmOjMwMDE2Mzk4MjQxNjMzMjo6MDo6&url=%2FPython-Machine-Learning-Sebastian-Raschka%2Fdp%2F1787125939%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.oc8NqfaNvKCVC-bkO3U0v8IEWNspkW488JeW0X1UTKuw_uJ-ITYuJpeMJ27SEuoXh-RXMrleEbS6pNCyTaDNciWv_JYBL_g15nMK5Ej0VLsTpzEYELsg3ZA4Pp57ygqCKVni3LisQiNsIsNAU6_Efft6WNwuQZ_nzMbGPavZkW7ksIFEmKNLD5JviI2LFGWAMjEAjDrRgy3tif_1wqhSD4fFs0Ek-CnFmcAbJX31808.JxY4A26zQcjWTTu9rVFb3eauAtZQ1dswVJySfMpvIb8%26dib_tag%3Dse%26keywords%3Dmachine%2Blearning%2Bbook%26qid%3D1776184872%26sr%3D8-22-spons%26aref%3DS1Ejh7Mlee%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=S1Ejh7Mlee&sp_cr=ZAZ
